聚类ID,用户细分名称,旅程数量,平均旅程长度,购买阶段,价格敏感度,核心兴趣,营销策略数量,产品推荐数量,转化优化数量
0,高端价值·浏览型·Karaoke爱好者,94,2.86,浏览阶段,高端价值型,"Karaoke Machine, Wireless Microphone, High-Fidelity Sound",4,3,2
1,平衡型·浏览型·Karaoke爱好者,85,3.59,浏览阶段,中等价格型,"Karaoke Machine, Wireless Microphones, Ikarao Shell S2 Karaoke Machine",2,5,2
2,平衡型·浏览型·Karaoke爱好者,119,3.05,浏览阶段,中等价格型,"Karaoke Machine, Wireless Microphones, High-Fidelity Sound",2,3,2
3,平衡型·对比型·Karaoke爱好者,108,4.6,对比阶段,中等价格型,"Wireless Microphones, Karaoke Machine, Karaoke Machines",3,3,2
4,高端价值·浏览型·Karaoke爱好者,119,3.13,浏览阶段,高端价值型,"High-Fidelity Sound, Karaoke Machine, Wireless Microphones",4,3,2
5,平衡型·对比型·Karaoke爱好者,30,3.0,对比阶段,中等价格型,"Wireless Microphones, Karaoke Machines, Touchscreen Displays",3,2,2
6,高端价值·浏览型·Karaoke爱好者,85,2.85,浏览阶段,高端价值型,"Ikarao Break X2 Karaoke Machine, Karaoke Machine, Karaoke Machines",4,5,2
7,平衡型·浏览型·Karaoke爱好者,51,2.8,浏览阶段,中等价格型,"Karaoke Machine, Wireless Microphones, Portable Karaoke",2,2,2
8,高端价值·浏览型·Karaoke爱好者,92,3.58,浏览阶段,高端价值型,"Ikarao Break X1 Karaoke Machine, Karaoke Machine, High-Fidelity Sound",4,5,2
9,平衡型·浏览型·Karaoke爱好者,50,16.82,浏览阶段,中等价格型,"Karaoke Machine, High-Fidelity Sound, Wireless Microphones",3,3,2
